Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,sample_fp_trace,1.1786184310913086,Pass,8.147257328033447,997741,256105,3.8958,111265,3880,0.4345,0.0152,3.4872%,3.8888,134382,34.6345,134.6863,997741,256105,3.8958,111265,3880,0.4345,0.0152,3.4872%,3.8888,134382,34.6345,134.6863
int,sample_int_trace,1.3341646194458008,Pass,7.01185941696167,997301,482096,2.0687,128874,5362,0.2673,0.0111,4.1607%,5.3765,251556,46.9146,252.2368,997301,482096,2.0687,128874,5362,0.2673,0.0111,4.1607%,5.3765,251556,46.9146,252.2368
